,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
117,CEVAE,0.2206982183005285,0.7937423807661131,189.83348035812378,,0.08212985843420029,,-0.00036644935607910156,8,5
118,M3E2,0.9282102930504795,0.6981818181818182,102.25940918922424,1.0991523265838623,0.6023609638214111,-0.11953787505626678,0.299129456281662,8,5
119,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,5
120,DA,0.4022812437904429,0.8214350590372389,247.75057554244995,0.053410209422480814,-0.027474351535303854,-0.024250929936010076,-0.03372236312013135,8,6
121,CEVAE,0.4616612406592782,0.7847031506809747,303.0828754901886,0.11905451118946075,0.05415981262922287,-0.08180795609951019,-0.0010378677397966385,8,6
122,M3E2,0.7378503513667699,0.7412121212121212,93.80871033668518,0.7162380814552307,0.21364331245422363,-0.41831403970718384,0.01054542139172554,8,6
123,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,6
124,DA,0.39894473781950607,0.8201983769161407,227.63080286979675,0.04656312722675662,-0.02695182996720161,-0.01613496350693587,-0.03262785994718233,8,7
125,CEVAE,0.3075445590694563,0.7887920885330821,145.4450342655182,,0.05066382512450218,,,8,7
126,M3E2,0.39011564675308424,0.7890909090909091,93.80090975761414,-0.4876158535480499,0.053288716822862625,-0.3062423765659332,0.09588679671287537,8,7
127,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,8,7
