,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
131,Dragonnet,0.1868994132069083,0.46072648566833657,229.03117775917053,-0.10551668703556061,0.004784929100424051,0.02265149913728237,0.11530773341655731,-0.012255883775651455,3,2
132,CEVAE,0.1759165470873149,0.4728156650070902,370.4424433708191,-0.08621679246425629,-0.0032333731651306152,0.017778785899281502,0.11104022711515427,0.053334832191467285,3,2
133,M3E2,0.1828607304907798,0.5627272727272727,163.7185573577881,-0.08811233937740326,-0.15688249468803406,-0.04774098843336105,0.09923484176397324,-0.047901835292577744,3,2
134,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,2
135,DA,0.16739650939594813,0.08999328408327736,71.4182357788086,-0.16041920001864338,-0.03717662046362601,0.022182885186984178,0.08581084863789716,0.017422843560378445,3,3
136,Dragonnet,0.17175619555992577,0.45764501133678215,219.6766233444214,-0.12041102349758148,-0.039964161813259125,0.03493978828191757,0.13219748437404633,-0.0007846847292967141,3,3
137,CEVAE,0.2176000377772893,0.4652982602060522,372.37331104278564,-0.10013087093830109,-0.0101030757650733,,0.09079360216856003,0.020077107474207878,3,3
138,M3E2,0.2469909926329883,0.5854545454545454,163.41635704040527,0.034595463424921036,0.09149225801229477,0.016788335517048836,0.07041779905557632,-0.046867530792951584,3,3
139,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,3
140,DA,0.17038965774733644,0.12260536398467432,65.37514615058899,-0.14334786416358822,-0.038259247749968264,0.01676355005275302,0.08510534748237993,0.013731976393435956,3,4
141,Dragonnet,0.18847167393315156,0.4422709511057466,219.44964981079102,-0.09169217944145203,0.010097614489495754,-0.007141207344830036,0.06924886256456375,0.015286169946193695,3,4
142,CEVAE,0.18715638894710263,0.4659744602348967,380.17554330825806,-0.09836214780807495,-0.005431354511529207,0.017836689949035645,0.06100120022892952,0.032889217138290405,3,4
143,M3E2,0.15181536143193236,0.5872727272727273,165.57401871681213,-0.31320032477378845,-0.14779165387153625,-0.0756431519985199,0.08701349049806595,-0.08673030138015747,3,4
144,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,4
145,DA,0.16994289345042618,0.1329073482428115,64.83582210540771,-0.1511066054081674,-0.038634832825031794,0.026453377375108274,0.09140319508778268,0.011223451275297088,3,5
146,Dragonnet,0.20380711363751014,0.44740144060348186,219.46331477165222,-0.09624301642179489,0.008432489819824696,0.016828659921884537,0.049778565764427185,-0.024166826158761978,3,5
147,CEVAE,0.21805652132380327,0.46733069124065196,381.0744128227234,-0.10491432249546051,-0.023884980008006096,0.032056763768196106,0.08445919305086136,-0.15585516393184662,3,5
148,M3E2,0.1221830382862272,0.59,166.90926337242126,-0.2999972701072693,-0.10108284652233124,0.018251653760671616,0.12305286526679993,-0.001167345093563199,3,5
149,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,5
150,DA,0.16638743788849314,0.13656114214773432,66.06777048110962,-0.1421751403399661,-0.05366492051802613,0.000958208790792551,0.07409482066117284,0.01471531230246332,3,6
151,Dragonnet,0.19929254243971353,0.45838346333378943,216.43532252311707,-0.09260831773281097,-0.014856407418847084,0.00094394147163257,0.036867666989564896,-0.024221988394856453,3,6
152,CEVAE,0.17951964032027443,0.4800613121058495,386.47390723228455,-0.09250825643539429,-0.025293588638305664,-0.005183935631066561,0.0665004700422287,0.028544722124934196,3,6
153,M3E2,0.1645784223484,0.5715151515151515,168.3621735572815,-0.3125035762786865,-0.08065014332532883,-0.11580771207809448,0.03585921227931976,-0.06871689110994339,3,6
154,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,6
155,DA,0.17818671349619242,0.06048387096774194,66.81097960472107,-0.1310477574432167,-0.0026007345881564462,0.017804788474986913,0.09001864569498352,0.018833257740969892,3,7
156,Dragonnet,0.20564329390536568,0.4596310584326394,220.7054283618927,-0.0900050476193428,-0.002409386681392789,0.016255654394626617,0.030427059158682823,-0.019173134118318558,3,7
157,CEVAE,0.1832832662773462,0.47246204458587826,387.5571665763855,-0.06178218126296997,-0.004357099533081055,-0.0026066056452691555,0.07811993360519409,0.05234702304005623,3,7
158,M3E2,0.13560797479321565,0.5869696969696969,169.66383838653564,-0.3333776593208313,-0.07525084167718887,-0.1023457869887352,0.06821420788764954,0.014843644574284554,3,7
159,TrueTreat,0.0,0.0,0.0,-0.44715711835757965,-0.10912746262799736,-0.024124367018002156,0.4658731758411227,0.06934705062859976,3,7
